mass_g,year,reclat,reclong,time_period,mass_kg,us_state
5100,1933,36.21667,-103.4,1950 and older,5.1,new mexico
12570,1992,41.28333,-73.91667,1991 to 2000,12.57,new york:main
70000,1946,30.125,-103.11667,1950 and older,70,texas
1800,1855,35.3,-86.63333,1950 and older,1.8,tennessee
57900,1901,40,-99.25,1950 and older,57.9,nebraska
3760,1921,31.95,-83.51667,1950 and older,3.76,georgia
2085,1930,30.7,-96.11667,1950 and older,2.085,texas
71400,1998,34.175,-103.295,1991 to 2000,71.4,new mexico
900,1893,39.11667,-83.85,1950 and older,0.9,ohio
18.41,2007,38.13742,-119.75812,2001 to 2010,0.01841,california
668,1903,35.03333,-83.03333,1950 and older,0.668,north carolina:main
90000,1918,46.88333,-102.31667,1950 and older,90,north dakota
1900,1980,31.25,-99.03333,1971 to 1980,1.9,texas
1800,1828,37.46667,-77.5,1950 and older,1.8,virginia:main
340,1876,41.08333,-86.28333,1950 and older,0.34,indiana
10600,1921,44.51667,-83.95,1950 and older,10.6,michigan:south
61.4,1981,44.97917,-122.96944,1981 to 1990,0.061399999999999996,oregon
56,1973,33.48472,-117.6625,1971 to 1980,0.056,california
283.3,1968,42.86083,-73.95028,1961 to 1970,0.2833,new york:main
5400,1871,44.36667,-69.2,1950 and older,5.4,maine
1265,1921,37.83333,-76.7,1950 and older,1.265,virginia:main
4100,1933,42.58333,-103.66667,1950 and older,4.1,nebraska
1000,1950,38.7,-90.23333,1950 and older,1,missouri
24.3,1919,38.16667,-76.38333,1950 and older,0.024300000000000002,maryland
50,1974,41.2,-73.13333,1971 to 1980,0.05,connecticut
3500,1924,36.48333,-90.66667,1950 and older,3.5,arkansas
992.5,2012,38.80389,-120.90806,2011 to current day,0.9925,california
5560,1954,33.18836,-86.2945,1951 to 1960,5.56,alabama
74800,1927,38.2,-89.68333,1950 and older,74.8,illinois
259.1,1944,42.06667,-104.16667,1950 and older,0.2591,wyoming
1020,1917,32.16667,-95.1,1950 and older,1.02,texas
89.3,1996,45.34583,-92.05167,1991 to 2000,0.08929999999999999,wisconsin
1500,1865,43.5,-91.16667,1950 and older,1.5,wisconsin
28100,1946,34.33333,-98.3,1950 and older,28.1,oklahoma
1600,1877,38.68333,-91.15,1950 and older,1.6,missouri
225,1939,45.58333,-122.35,1950 and older,0.225,washington:main
150000,1807,41.266667,-73.266667,1950 and older,150,connecticut
350,1971,41.7,-72.65,1971 to 1980,0.35,connecticut
2756,1982,41.71056,-72.67361,1981 to 1990,2.756,connecticut
2138.74,2009,31.96185,-110.434183,2001 to 2010,2.13874,arizona
1551,1997,42.38467,-83.6115,1991 to 2000,1.551,michigan:south
250,1869,41.28333,-73.81667,1950 and older,0.25,new york:main
21100,1951,36.3,-104.28333,1951 to 1960,21.1,new mexico
2914,1941,33.85,-101.8,1950 and older,2.914,texas
16000,1924,39.77667,-100.81333,1950 and older,16,kansas
3046,1995,32.59033,-101.77217,1991 to 2000,3.046,texas
75000,1947,33.63333,-104.26667,1950 and older,75,new mexico
3956,1962,35.05,-107.56667,1961 to 1970,3.956,new mexico
5700,1928,39.96667,-103.76667,1950 and older,5.7,colorado
180000,1881,38.7,-96.1,1950 and older,180,kansas
22600,1936,35.15,-102.71667,1950 and older,22.6,texas
956,1936,34.2,-101.5,1950 and older,0.956,texas
80650,1907,42.6,-99.8,1950 and older,80.65,nebraska
1050,1940,40.15,-103.16667,1950 and older,1.05,colorado
4000,1961,40.15,-103.16667,1961 to 1970,4,colorado
13600,1938,32.9,-105.93333,1950 and older,13.6,new mexico
1800,1937,37.46667,-105.86667,1950 and older,1.8,colorado
37600,1915,41.5,-104.1,1950 and older,37.6,wyoming
15400,1949,41.41667,-104.1,1950 and older,15.4,wyoming
12280,1966,46.83333,-117.25,1961 to 1970,12.28,washington:main
192,1875,35.75,-81.25,1950 and older,0.192,north carolina:main
4100,1887,44.65,-87.46667,1950 and older,4.1,wisconsin
30.47,1998,37.86667,-117.4,1991 to 2000,0.03047,nevada
28,2011,32.306,-108.9038,2011 to current day,0.028,new mexico
1407,1923,33.1,-96.7,1950 and older,1.407,texas
6570,1978,33.1,-102.95,1971 to 1980,6.57,texas
3180,1949,39.6,-100.11667,1950 and older,3.18,kansas
21500,1932,40.56667,-110.48333,1950 and older,21.5,utah
17500,1976,43.32222,-96.28889,1971 to 1980,17.5,iowa
4532,1934,35.16667,-97.88333,1950 and older,4.532,oklahoma
8500,1947,40.8,-99.2,1950 and older,8.5,nebraska
14800,1916,44.25,-88.25,1950 and older,14.8,wisconsin
1108,1961,45.2,-93.43333,1961 to 1970,1.108,minnesota
3900,1972,39.33333,-97.56167,1971 to 1980,3.9,kansas
754,2012,40.90183,-118.54465,2011 to current day,0.754,nevada
20000,1919,37.08333,-98.05,1950 and older,20,kansas
347.36,2011,32.00584,-106.56028,2011 to current day,0.34736,new mexico
41800,1965,33.7825,-102.18111,1961 to 1970,41.8,texas
6.1,1938,39.75,-105.2,1950 and older,0.0060999999999999995,colorado
19083,1940,38.8,-102.2,1950 and older,19.083,colorado
19400,1937,41.41667,-99.1,1950 and older,19.4,nebraska
985.8,1972,34.15,-103.22,1971 to 1980,0.9858,new mexico
534,2001,38.68867,-109.58517,2001 to 2010,0.534,utah
84,1940,37.26667,-97.76667,1950 and older,0.084,kansas
