mass_g,year,reclat,reclong,time_period,mass_kg
15.3,1997,-76.71667,159.66667,1991 to 2000,0.015300000000000001
44.1,1997,-76.71667,159.66667,1991 to 2000,0.0441
60.1,1997,-76.71667,159.66667,1991 to 2000,0.0601
33.4,1997,-76.71667,159.66667,1991 to 2000,0.0334
3.6,1997,-76.71667,159.66667,1991 to 2000,0.0036
8.9,1997,-76.71667,159.66667,1991 to 2000,0.0089
103.4,2000,-76.76098,159.45252,1991 to 2000,0.1034
13.6,1999,-76.71667,159.66667,1991 to 2000,0.0136
20.3,1999,-76.71667,159.66667,1991 to 2000,0.020300000000000002
13.7,1999,-76.71667,159.66667,1991 to 2000,0.013699999999999999
36.1,1999,-76.71667,159.66667,1991 to 2000,0.0361
186,1999,-76.71667,159.66667,1991 to 2000,0.186
453.6,1999,-76.71667,159.66667,1991 to 2000,0.4536
1009.2,1999,-76.71667,159.66667,1991 to 2000,1.0092
20151,1976,-76.75,159.33333,1971 to 1980,20.151
1510,1976,-76.71667,159.66667,1971 to 1980,1.51
10495,1976,-76.71667,159.66667,1971 to 1980,10.495
305,1976,-76.71667,159.66667,1971 to 1980,0.305
1425,1976,-76.71667,159.66667,1971 to 1980,1.425
1137,1976,-76.71667,159.66667,1971 to 1980,1.137
410,1976,-76.71667,159.66667,1971 to 1980,0.41
1150,1976,-76.71667,159.66667,1971 to 1980,1.15
407000,1976,-76.71667,159.66667,1971 to 1980,407
252,1977,-76.75,159.33333,1971 to 1980,0.252
235.2,1977,-76.71667,159.66667,1971 to 1980,0.2352
779.6,1977,-76.71667,159.66667,1971 to 1980,0.7796000000000001
2230,1977,-76.71667,159.66667,1971 to 1980,2.23
482.5,1977,-76.71667,159.66667,1971 to 1980,0.4825
99.3,1977,-76.71667,159.66667,1971 to 1980,0.0993
93,1977,-76.71667,159.66667,1971 to 1980,0.093
235.5,1977,-76.71667,159.66667,1971 to 1980,0.2355
295.8,1977,-76.71667,159.66667,1971 to 1980,0.2958
291.5,1977,-76.71667,159.66667,1971 to 1980,0.2915
180.2,1977,-76.71667,159.66667,1971 to 1980,0.1802
23,1977,-76.71667,159.66667,1971 to 1980,0.023
308.8,1977,-76.71667,159.66667,1971 to 1980,0.3088
411.1,1977,-76.71667,159.66667,1971 to 1980,0.4111
78.3,1977,-76.71667,159.66667,1971 to 1980,0.0783
77.9,1977,-76.71667,159.66667,1971 to 1980,0.07790000000000001
51.8,1977,-76.71667,159.66667,1971 to 1980,0.0518
59.8,1977,-76.71667,159.66667,1971 to 1980,0.0598
16.7,1977,-76.71667,159.66667,1971 to 1980,0.0167
16,1977,-76.71667,159.66667,1971 to 1980,0.016
21.4,1977,-76.71667,159.66667,1971 to 1980,0.0214
10.75,1977,-76.71667,159.66667,1971 to 1980,0.01075
19.4,1977,-76.71667,159.66667,1971 to 1980,0.019399999999999997
20.3,1977,-76.71667,159.66667,1971 to 1980,0.020300000000000002
3.7,1977,-76.71667,159.66667,1971 to 1980,0.0037
0.53,1977,-76.71667,159.66667,1971 to 1980,5.3e-4
1.4,1977,-76.71667,159.66667,1971 to 1980,0.0014
0.8,1977,-76.71667,159.66667,1971 to 1980,8e-4
0.5,1977,-76.71667,159.66667,1971 to 1980,5e-4
6.74,1977,-76.71667,159.66667,1971 to 1980,0.00674
9.3,1977,-76.71667,159.66667,1971 to 1980,0.009300000000000001
1.8,1977,-76.71667,159.66667,1971 to 1980,0.0018
1.67,1977,-76.71667,159.66667,1971 to 1980,0.0016699999999999998
8.5,1977,-76.71667,159.66667,1971 to 1980,0.0085
2.33,1977,-76.71667,159.66667,1971 to 1980,0.00233
18.8,1977,-76.71667,159.66667,1971 to 1980,0.0188
8.2,1977,-76.71667,159.66667,1971 to 1980,0.008199999999999999
2.3,1977,-76.71667,159.66667,1971 to 1980,0.0023
16.6,1977,-76.71667,159.66667,1971 to 1980,0.0166
20.4,1977,-76.71667,159.66667,1971 to 1980,0.020399999999999998
11.4,1977,-76.71667,159.66667,1971 to 1980,0.0114
12.25,1977,-76.71667,159.66667,1971 to 1980,0.01225
17.9,1977,-76.71667,159.66667,1971 to 1980,0.0179
7.6,1977,-76.71667,159.66667,1971 to 1980,0.0076
20.5,1977,-76.71667,159.66667,1971 to 1980,0.0205
14.93,1977,-76.71667,159.66667,1971 to 1980,0.01493
7.3,1977,-76.71667,159.66667,1971 to 1980,0.0073
84.2,1977,-76.71667,159.66667,1971 to 1980,0.0842
15,1977,-76.71667,159.66667,1971 to 1980,0.015
112.2,1977,-76.71667,159.66667,1971 to 1980,0.11220000000000001
13.05,1977,-76.71667,159.66667,1971 to 1980,0.01305
10.4,1977,-76.71667,159.66667,1971 to 1980,0.0104
5.07,1977,-76.71667,159.66667,1971 to 1980,0.00507
12.3,1977,-76.71667,159.66667,1971 to 1980,0.0123
3.03,1977,-76.71667,159.66667,1971 to 1980,0.0030299999999999997
3.7,1977,-76.71667,159.66667,1971 to 1980,0.0037
6.44,1977,-76.71667,159.66667,1971 to 1980,0.00644
64.4,1977,-76.71667,159.66667,1971 to 1980,0.0644
12.6,1977,-76.71667,159.66667,1971 to 1980,0.0126
16.7,1977,-76.71667,159.66667,1971 to 1980,0.0167
2.9,1977,-76.71667,159.66667,1971 to 1980,0.0029
6.5,1977,-76.71667,159.66667,1971 to 1980,0.0065
2.65,1977,-76.71667,159.66667,1971 to 1980,0.00265
4.9,1977,-76.71667,159.66667,1971 to 1980,0.004900000000000001
4.09,1977,-76.71667,159.66667,1971 to 1980,0.00409
0.8,1977,-76.71667,159.66667,1971 to 1980,8e-4
18.4,1977,-76.71667,159.66667,1971 to 1980,0.0184
10.9,1977,-76.71667,159.66667,1971 to 1980,0.0109
0.27,1977,-76.71667,159.66667,1971 to 1980,2.7e-4
10.1,1977,-76.71667,159.66667,1971 to 1980,0.0101
12.1,1977,-76.71667,159.66667,1971 to 1980,0.0121
1.2,1977,-76.71667,159.66667,1971 to 1980,0.0012
1.7,1977,-76.71667,159.66667,1971 to 1980,0.0017
13.73,1977,-76.71667,159.66667,1971 to 1980,0.013730000000000001
24.1,1977,-76.71667,159.66667,1971 to 1980,0.0241
7.8,1977,-76.71667,159.66667,1971 to 1980,0.0078
1.14,1977,-76.71667,159.66667,1971 to 1980,0.00114
8.6,1977,-76.71667,159.66667,1971 to 1980,0.0086
12,1977,-76.71667,159.66667,1971 to 1980,0.012
9.07,1977,-76.71667,159.66667,1971 to 1980,0.00907
44.1,1977,-76.71667,159.66667,1971 to 1980,0.0441
45.9,1977,-76.71667,159.66667,1971 to 1980,0.045899999999999996
19.4,1977,-76.71667,159.66667,1971 to 1980,0.019399999999999997
30.7,1977,-76.71667,159.66667,1971 to 1980,0.030699999999999998
51.2,1977,-76.71667,159.66667,1971 to 1980,0.0512
7.8,1977,-76.71667,159.66667,1971 to 1980,0.0078
9.54,1977,-76.71667,159.66667,1971 to 1980,0.00954
4.2,1977,-76.71667,159.66667,1971 to 1980,0.004200000000000001
45,1977,-76.71667,159.66667,1971 to 1980,0.045
9.05,1977,-76.71667,159.66667,1971 to 1980,0.00905
6.6,1977,-76.71667,159.66667,1971 to 1980,0.0066
4.47,1977,-76.71667,159.66667,1971 to 1980,0.00447
2.5,1977,-76.71667,159.66667,1971 to 1980,0.0025
1.36,1977,-76.71667,159.66667,1971 to 1980,0.00136
8,1977,-76.71667,159.66667,1971 to 1980,0.008
4.98,1977,-76.71667,159.66667,1971 to 1980,0.00498
18.2,1977,-76.71667,159.66667,1971 to 1980,0.0182
3.8,1977,-76.71667,159.66667,1971 to 1980,0.0038
12.3,1977,-76.71667,159.66667,1971 to 1980,0.0123
4.13,1977,-76.71667,159.66667,1971 to 1980,0.00413
6.3,1977,-76.71667,159.66667,1971 to 1980,0.0063
3.44,1977,-76.71667,159.66667,1971 to 1980,0.00344
7.8,1977,-76.71667,159.66667,1971 to 1980,0.0078
4.71,1977,-76.71667,159.66667,1971 to 1980,0.00471
0.7,1977,-76.71667,159.66667,1971 to 1980,7e-4
52.3,1977,-76.71667,159.66667,1971 to 1980,0.0523
21.7,1977,-76.71667,159.66667,1971 to 1980,0.0217
2,1977,-76.71667,159.66667,1971 to 1980,0.002
44.5,1977,-76.71667,159.66667,1971 to 1980,0.0445
154.4,1977,-76.71667,159.66667,1971 to 1980,0.1544
7.04,1977,-76.71667,159.66667,1971 to 1980,0.00704
20.8,1977,-76.71667,159.66667,1971 to 1980,0.0208
7.8,1977,-76.71667,159.66667,1971 to 1980,0.0078
6.4,1977,-76.71667,159.66667,1971 to 1980,0.0064
3.9,1977,-76.71667,159.66667,1971 to 1980,0.0039
4.48,1977,-76.71667,159.66667,1971 to 1980,0.0044800000000000005
4.6,1977,-76.71667,159.66667,1971 to 1980,0.0046
3.46,1977,-76.71667,159.66667,1971 to 1980,0.00346
4.4,1977,-76.71667,159.66667,1971 to 1980,0.0044
18.7,1977,-76.71667,159.66667,1971 to 1980,0.018699999999999998
25.2,1977,-76.71667,159.66667,1971 to 1980,0.0252
3.8,1977,-76.71667,159.66667,1971 to 1980,0.0038
3.77,1977,-76.71667,159.66667,1971 to 1980,0.00377
1.7,1977,-76.71667,159.66667,1971 to 1980,0.0017
24.8,1977,-76.71667,159.66667,1971 to 1980,0.0248
25.9,1977,-76.71667,159.66667,1971 to 1980,0.0259
115.4,1977,-76.71667,159.66667,1971 to 1980,0.1154
18.7,1977,-76.71667,159.66667,1971 to 1980,0.018699999999999998
19.1,1977,-76.71667,159.66667,1971 to 1980,0.019100000000000002
3.23,1977,-76.71667,159.66667,1971 to 1980,0.00323
3.6,1977,-76.71667,159.66667,1971 to 1980,0.0036
5.13,1977,-76.71667,159.66667,1971 to 1980,0.00513
2.1,1977,-76.71667,159.66667,1971 to 1980,0.0021000000000000003
65.9,1977,-76.71667,159.66667,1971 to 1980,0.0659
78.6,1977,-76.71667,159.66667,1971 to 1980,0.07859999999999999
11.2,1977,-76.71667,159.66667,1971 to 1980,0.0112
3.1,1977,-76.71667,159.66667,1971 to 1980,0.0031
39,1977,-76.71667,159.66667,1971 to 1980,0.039
7.9,1977,-76.71667,159.66667,1971 to 1980,0.0079
14.22,1977,-76.71667,159.66667,1971 to 1980,0.01422
18.2,1977,-76.71667,159.66667,1971 to 1980,0.0182
18.7,1977,-76.71667,159.66667,1971 to 1980,0.018699999999999998
13.1,1977,-76.71667,159.66667,1971 to 1980,0.013099999999999999
25.6,1977,-76.71667,159.66667,1971 to 1980,0.0256
58.3,1977,-76.71667,159.66667,1971 to 1980,0.0583
16.9,1977,-76.71667,159.66667,1971 to 1980,0.0169
17.8,1977,-76.71667,159.66667,1971 to 1980,0.0178
12,1977,-76.71667,159.66667,1971 to 1980,0.012
5.21,1977,-76.71667,159.66667,1971 to 1980,0.00521
305.3,1977,-76.71667,159.66667,1971 to 1980,0.3053
17.7,1977,-76.71667,159.66667,1971 to 1980,0.0177
88.3,1977,-76.71667,159.66667,1971 to 1980,0.0883
19.9,1977,-76.71667,159.66667,1971 to 1980,0.019899999999999998
17,1977,-76.71667,159.66667,1971 to 1980,0.017
70.42,1977,-76.71667,159.66667,1971 to 1980,0.07042
6.1,1977,-76.71667,159.66667,1971 to 1980,0.0060999999999999995
29,1977,-76.71667,159.66667,1971 to 1980,0.029
24.3,1977,-76.71667,159.66667,1971 to 1980,0.024300000000000002
38.14,1977,-76.71667,159.66667,1971 to 1980,0.03814
30.5,1977,-76.71667,159.66667,1971 to 1980,0.0305
138.8,1977,-76.71667,159.66667,1971 to 1980,0.1388
611.2,1977,-76.71667,159.66667,1971 to 1980,0.6112000000000001
24.7,1977,-76.71667,159.66667,1971 to 1980,0.0247
7.34,1977,-76.71667,159.66667,1971 to 1980,0.00734
12.2,1977,-76.71667,159.66667,1971 to 1980,0.012199999999999999
23.8,1977,-76.71667,159.66667,1971 to 1980,0.0238
6.42,1977,-76.71667,159.66667,1971 to 1980,0.00642
25.8,1977,-76.71667,159.66667,1971 to 1980,0.0258
32.4,1977,-76.71667,159.66667,1971 to 1980,0.0324
23.3,1977,-76.71667,159.66667,1971 to 1980,0.0233
55.4,1977,-76.71667,159.66667,1971 to 1980,0.0554
368.2,1977,-76.71667,159.66667,1971 to 1980,0.36819999999999997
5.7,1977,-76.71667,159.66667,1971 to 1980,0.0057
9.18,1977,-76.71667,159.66667,1971 to 1980,0.009179999999999999
190.8,1977,-76.71667,159.66667,1971 to 1980,0.19080000000000003
33,1977,-76.71667,159.66667,1971 to 1980,0.033
1134.7,1977,-76.71667,159.66667,1971 to 1980,1.1347
288,1977,-76.71667,159.66667,1971 to 1980,0.288
127.6,1977,-76.71667,159.66667,1971 to 1980,0.1276
28,1977,-76.71667,159.66667,1971 to 1980,0.028
122.4,1977,-76.71667,159.66667,1971 to 1980,0.12240000000000001
52.2,1977,-76.71667,159.66667,1971 to 1980,0.0522
109,1977,-76.71667,159.66667,1971 to 1980,0.109
387.1,1977,-76.71667,159.66667,1971 to 1980,0.3871
642.2,1977,-76.71667,159.66667,1971 to 1980,0.6422
845.3,1977,-76.71667,159.66667,1971 to 1980,0.8452999999999999
6.7,1977,-76.71667,159.66667,1971 to 1980,0.0067
10.94,1977,-76.71667,159.66667,1971 to 1980,0.01094
4.7,1977,-76.71667,159.66667,1971 to 1980,0.0047
5.15,1977,-76.71667,159.66667,1971 to 1980,0.00515
20.3,1977,-76.71667,159.66667,1971 to 1980,0.020300000000000002
7.3,1977,-76.71667,159.66667,1971 to 1980,0.0073
3.13,1977,-76.71667,159.66667,1971 to 1980,0.00313
0.9,1977,-76.71667,159.66667,1971 to 1980,9e-4
15,1977,-76.71667,159.66667,1971 to 1980,0.015
2.7,1977,-76.71667,159.66667,1971 to 1980,0.0027
6.82,1977,-76.71667,159.66667,1971 to 1980,0.0068200000000000005
5.61,1977,-76.71667,159.66667,1971 to 1980,0.00561
3.1,1977,-76.71667,159.66667,1971 to 1980,0.0031
4.36,1977,-76.71667,159.66667,1971 to 1980,0.00436
4.9,1977,-76.71667,159.66667,1971 to 1980,0.004900000000000001
1733,1977,-76.71667,159.66667,1971 to 1980,1.733
31.8,1977,-76.71667,159.66667,1971 to 1980,0.0318
5.93,1977,-76.71667,159.66667,1971 to 1980,0.0059299999999999995
26.7,1977,-76.71667,159.66667,1971 to 1980,0.026699999999999998
16.8,1977,-76.71667,159.66667,1971 to 1980,0.016800000000000002
8.4,1977,-76.71667,159.66667,1971 to 1980,0.008400000000000001
2111,1977,-76.71667,159.66667,1971 to 1980,2.111
819.6,1977,-76.71667,159.66667,1971 to 1980,0.8196
1470,1977,-76.71667,159.66667,1971 to 1980,1.47
413.2,1977,-76.71667,159.66667,1971 to 1980,0.4132
45.1,1977,-76.71667,159.66667,1971 to 1980,0.0451
637.1,1977,-76.71667,159.66667,1971 to 1980,0.6371
69.1,1977,-76.71667,159.66667,1971 to 1980,0.0691
229.2,1977,-76.71667,159.66667,1971 to 1980,0.2292
125.4,1977,-76.71667,159.66667,1971 to 1980,0.1254
207.9,1977,-76.71667,159.66667,1971 to 1980,0.2079
786.9,1977,-76.71667,159.66667,1971 to 1980,0.7868999999999999
5878,1977,-76.71667,159.66667,1971 to 1980,5.878
15323,1977,-76.71667,159.66667,1971 to 1980,15.323
16,1977,-76.71667,159.66667,1971 to 1980,0.016
19.3,1977,-76.71667,159.66667,1971 to 1980,0.0193
12.47,1977,-76.71667,159.66667,1971 to 1980,0.01247
2473,1977,-76.71667,159.66667,1971 to 1980,2.473
9270,1977,-76.71667,159.66667,1971 to 1980,9.27
6494.3,1977,-76.71667,159.66667,1971 to 1980,6.4943
4087,1977,-76.71667,159.66667,1971 to 1980,4.087
4.9,1977,-76.71667,159.66667,1971 to 1980,0.004900000000000001
6.91,1977,-76.71667,159.66667,1971 to 1980,0.00691
4.1,1977,-76.71667,159.66667,1971 to 1980,0.0040999999999999995
5.83,1977,-76.71667,159.66667,1971 to 1980,0.00583
19,1977,-76.71667,159.66667,1971 to 1980,0.019
25.1,1977,-76.71667,159.66667,1971 to 1980,0.0251
144.1,1977,-76.71667,159.66667,1971 to 1980,0.1441
56.5,1977,-76.71667,159.66667,1971 to 1980,0.0565
9.22,1977,-76.71667,159.66667,1971 to 1980,0.00922
39.5,1977,-76.71667,159.66667,1971 to 1980,0.0395
33.4,1977,-76.71667,159.66667,1971 to 1980,0.0334
41.6,1977,-76.71667,159.66667,1971 to 1980,0.0416
44.3,1977,-76.71667,159.66667,1971 to 1980,0.0443
96.1,1977,-76.71667,159.66667,1971 to 1980,0.09609999999999999
503.6,1977,-76.71667,159.66667,1971 to 1980,0.5036
10555,1977,-76.71667,159.66667,1971 to 1980,10.555
68.8,1977,-76.71667,159.66667,1971 to 1980,0.0688
343.1,1977,-76.71667,159.66667,1971 to 1980,0.3431
23.6,1977,-76.71667,159.66667,1971 to 1980,0.023600000000000003
245.8,1977,-76.71667,159.66667,1971 to 1980,0.24580000000000002
765.1,1977,-76.71667,159.66667,1971 to 1980,0.7651
676.2,1977,-76.71667,159.66667,1971 to 1980,0.6762
1995.7,1977,-76.71667,159.66667,1971 to 1980,1.9957
597.3,1977,-76.71667,159.66667,1971 to 1980,0.5972999999999999
294,1977,-76.71667,159.66667,1971 to 1980,0.294
744.3,1977,-76.71667,159.66667,1971 to 1980,0.7443
411.7,1977,-76.71667,159.66667,1971 to 1980,0.4117
861.5,1977,-76.71667,159.66667,1971 to 1980,0.8615
1669,1977,-76.71667,159.66667,1971 to 1980,1.669
11,1977,-76.71667,159.66667,1971 to 1980,0.011
18.3,1977,-76.71667,159.66667,1971 to 1980,0.0183
108.4,1977,-76.71667,159.66667,1971 to 1980,0.10840000000000001
103.5,1977,-76.71667,159.66667,1971 to 1980,0.1035
272,1977,-76.71667,159.66667,1971 to 1980,0.272
1045,1977,-76.71667,159.66667,1971 to 1980,1.045
588.9,1977,-76.71667,159.66667,1971 to 1980,0.5889
609.5,1977,-76.71667,159.66667,1971 to 1980,0.6095
674.1,1977,-76.71667,159.66667,1971 to 1980,0.6741
492,1977,-76.71667,159.66667,1971 to 1980,0.492
288.1,1977,-76.71667,159.66667,1971 to 1980,0.2881
24.9,1977,-76.71667,159.66667,1971 to 1980,0.0249
142.7,1977,-76.71667,159.66667,1971 to 1980,0.1427
312.9,1977,-76.71667,159.66667,1971 to 1980,0.31289999999999996
174.5,1977,-76.71667,159.66667,1971 to 1980,0.1745
3226,1977,-76.71667,159.66667,1971 to 1980,3.226
1231,1977,-76.71667,159.66667,1971 to 1980,1.231
4127.1,1977,-76.71667,159.66667,1971 to 1980,4.1271
10510,1977,-76.71667,159.66667,1971 to 1980,10.51
376.2,1977,-76.71667,159.66667,1971 to 1980,0.3762
271.1,1977,-76.71667,159.66667,1971 to 1980,0.2711
245.8,1977,-76.71667,159.66667,1971 to 1980,0.24580000000000002
230.1,1977,-76.71667,159.66667,1971 to 1980,0.2301
1880,1977,-76.71667,159.66667,1971 to 1980,1.88
2186,1977,-76.71667,159.66667,1971 to 1980,2.186
3784,1977,-76.71667,159.66667,1971 to 1980,3.784
5.8,1977,-76.71667,159.66667,1971 to 1980,0.0058
199.6,1977,-76.71667,159.66667,1971 to 1980,0.1996
109.7,1977,-76.71667,159.66667,1971 to 1980,0.1097
1351,1977,-76.71667,159.66667,1971 to 1980,1.351
141.3,1977,-76.71667,159.66667,1971 to 1980,0.1413
963.3,1977,-76.71667,159.66667,1971 to 1980,0.9632999999999999
951.6,1977,-76.71667,159.66667,1971 to 1980,0.9516
260.7,1977,-76.71667,159.66667,1971 to 1980,0.2607
234.5,1977,-76.71667,159.66667,1971 to 1980,0.2345
54.9,1977,-76.71667,159.66667,1971 to 1980,0.0549
235.5,1977,-76.71667,159.66667,1971 to 1980,0.2355
78.6,1977,-76.71667,159.66667,1971 to 1980,0.07859999999999999
650.4,1977,-76.71667,159.66667,1971 to 1980,0.6504
6444,1977,-76.71667,159.66667,1971 to 1980,6.444
19.9,1977,-76.71667,159.66667,1971 to 1980,0.019899999999999998
181.3,1977,-76.71667,159.66667,1971 to 1980,0.18130000000000002
84.5,1978,-76.75,159.5,1971 to 1980,0.0845
11.5,1978,-76.71667,159.66667,1971 to 1980,0.0115
124.8,1978,-76.71667,159.66667,1971 to 1980,0.1248
35.9,1978,-76.71667,159.66667,1971 to 1980,0.0359
28.2,1978,-76.71667,159.66667,1971 to 1980,0.0282
8,1978,-76.71667,159.66667,1971 to 1980,0.008
8.45,1977,-76.71667,159.66667,1971 to 1980,0.00845
7.4,1978,-76.71667,159.66667,1971 to 1980,0.0074
9.18,1977,-76.71667,159.66667,1971 to 1980,0.009179999999999999
1.3,1978,-76.71667,159.66667,1971 to 1980,0.0013
4.84,1977,-76.71667,159.66667,1971 to 1980,0.00484
38.1,1978,-76.71667,159.66667,1971 to 1980,0.0381
4.1,1978,-76.71667,159.66667,1971 to 1980,0.0040999999999999995
6.95,1977,-76.71667,159.66667,1971 to 1980,0.0069500000000000004
34.9,1978,-76.71667,159.66667,1971 to 1980,0.0349
2.55,1977,-76.71667,159.66667,1971 to 1980,0.0025499999999999997
2.9,1978,-76.71667,159.66667,1971 to 1980,0.0029
17.9,1978,-76.71667,159.66667,1971 to 1980,0.0179
30.3,1978,-76.71667,159.66667,1971 to 1980,0.0303
14.17,1977,-76.71667,159.66667,1971 to 1980,0.01417
17.1,1978,-76.71667,159.66667,1971 to 1980,0.0171
6.54,1977,-76.71667,159.66667,1971 to 1980,0.00654
9.8,1978,-76.71667,159.66667,1971 to 1980,0.009800000000000001
3.15,1977,-76.71667,159.66667,1971 to 1980,0.00315
8.3,1978,-76.71667,159.66667,1971 to 1980,0.0083
7.78,1977,-76.71667,159.66667,1971 to 1980,0.0077800000000000005
29.2,1978,-76.71667,159.66667,1971 to 1980,0.0292
4.4,1978,-76.71667,159.66667,1971 to 1980,0.0044
4.1,1978,-76.71667,159.66667,1971 to 1980,0.0040999999999999995
2.68,1977,-76.71667,159.66667,1971 to 1980,0.00268
4.6,1978,-76.71667,159.66667,1971 to 1980,0.0046
2.08,1977,-76.71667,159.66667,1971 to 1980,0.0020800000000000003
5,1978,-76.71667,159.66667,1971 to 1980,0.005
2.35,1977,-76.71667,159.66667,1971 to 1980,0.00235
2.5,1978,-76.71667,159.66667,1971 to 1980,0.0025
1.03,1977,-76.71667,159.66667,1971 to 1980,0.00103
0.5,1978,-76.71667,159.66667,1971 to 1980,5e-4
363,1978,-76.71667,159.66667,1971 to 1980,0.363
299,1978,-76.71667,159.66667,1971 to 1980,0.299
211.7,1978,-76.71667,159.66667,1971 to 1980,0.2117
117.5,1978,-76.71667,159.66667,1971 to 1980,0.1175
214.1,1978,-76.71667,159.66667,1971 to 1980,0.21409999999999998
680,1978,-76.71667,159.66667,1971 to 1980,0.68
164.1,1978,-76.71667,159.66667,1971 to 1980,0.1641
396.5,1978,-76.71667,159.66667,1971 to 1980,0.3965
70,1978,-76.71667,159.66667,1971 to 1980,0.07
130.3,1978,-76.71667,159.66667,1971 to 1980,0.1303
190.6,1978,-76.71667,159.66667,1971 to 1980,0.1906
95.8,1978,-76.71667,159.66667,1971 to 1980,0.0958
1045,1978,-76.71667,159.66667,1971 to 1980,1.045
119.5,1978,-76.71667,159.66667,1971 to 1980,0.1195
97.3,1978,-76.71667,159.66667,1971 to 1980,0.0973
179,1978,-76.71667,159.66667,1971 to 1980,0.179
9.31,1977,-76.71667,159.66667,1971 to 1980,0.00931
13.7,1978,-76.71667,159.66667,1971 to 1980,0.013699999999999999
10.61,1977,-76.71667,159.66667,1971 to 1980,0.01061
8.7,1978,-76.71667,159.66667,1971 to 1980,0.0087
14.44,1977,-76.71667,159.66667,1971 to 1980,0.01444
9.1,1978,-76.71667,159.66667,1971 to 1980,0.0091
5.41,1977,-76.71667,159.66667,1971 to 1980,0.00541
1.64,1977,-76.71667,159.66667,1971 to 1980,0.00164
10.9,1978,-76.71667,159.66667,1971 to 1980,0.0109
76.7,1978,-76.71667,159.66667,1971 to 1980,0.0767
10.37,1977,-76.71667,159.66667,1971 to 1980,0.010369999999999999
7.3,1978,-76.71667,159.66667,1971 to 1980,0.0073
8.48,1977,-76.71667,159.66667,1971 to 1980,0.00848
7.8,1978,-76.71667,159.66667,1971 to 1980,0.0078
3.19,1977,-76.71667,159.66667,1971 to 1980,0.00319
4.4,1978,-76.71667,159.66667,1971 to 1980,0.0044
10,1978,-76.71667,159.66667,1971 to 1980,0.01
5.72,1977,-76.71667,159.66667,1971 to 1980,0.005719999999999999
2.98,1977,-76.71667,159.66667,1971 to 1980,0.00298
200.2,1978,-76.71667,159.66667,1971 to 1980,0.2002
280.6,1978,-76.71667,159.66667,1971 to 1980,0.2806
275.6,1978,-76.71667,159.66667,1971 to 1980,0.2756
330.6,1978,-76.71667,159.66667,1971 to 1980,0.3306
290.3,1978,-76.71667,159.66667,1971 to 1980,0.2903
4.5,1978,-76.71667,159.66667,1971 to 1980,0.0045
24.8,1978,-76.71667,159.66667,1971 to 1980,0.0248
17.8,1978,-76.71667,159.66667,1971 to 1980,0.0178
24,1978,-76.71667,159.66667,1971 to 1980,0.024
11.43,1977,-76.71667,159.66667,1971 to 1980,0.01143
14280,1978,-76.71667,159.66667,1971 to 1980,14.28
219.3,1978,-76.71667,159.66667,1971 to 1980,0.21930000000000002
9,1978,-76.71667,159.66667,1971 to 1980,0.009
7.95,1977,-76.71667,159.66667,1971 to 1980,0.00795
5.2,1978,-76.71667,159.66667,1971 to 1980,0.0052
12.23,1977,-76.71667,159.66667,1971 to 1980,0.012230000000000001
7.5,1978,-76.71667,159.66667,1971 to 1980,0.0075
2.54,1977,-76.71667,159.66667,1971 to 1980,0.00254
16.3,1978,-76.71667,159.66667,1971 to 1980,0.016300000000000002
2.62,1977,-76.71667,159.66667,1971 to 1980,0.00262
4,1978,-76.71667,159.66667,1971 to 1980,0.004
8.2,1977,-76.71667,159.66667,1971 to 1980,0.008199999999999999
7.5,1978,-76.71667,159.66667,1971 to 1980,0.0075
2.3,1977,-76.71667,159.66667,1971 to 1980,0.0023
2.2,1978,-76.71667,159.66667,1971 to 1980,0.0022
2.1,1977,-76.71667,159.66667,1971 to 1980,0.0021000000000000003
84.9,1978,-76.71667,159.66667,1971 to 1980,0.0849
121.2,1978,-76.71667,159.66667,1971 to 1980,0.1212
336.9,1978,-76.71667,159.66667,1971 to 1980,0.3369
589.7,1978,-76.71667,159.66667,1971 to 1980,0.5897
672.4,1978,-76.71667,159.66667,1971 to 1980,0.6724
941.7,1978,-76.71667,159.66667,1971 to 1980,0.9417000000000001
464.5,1978,-76.71667,159.66667,1971 to 1980,0.4645
198.4,1978,-76.71667,159.66667,1971 to 1980,0.1984
172.5,1978,-76.71667,159.66667,1971 to 1980,0.1725
233.2,1978,-76.71667,159.66667,1971 to 1980,0.2332
160.7,1978,-76.71667,159.66667,1971 to 1980,0.16069999999999998
126.8,1978,-76.71667,159.66667,1971 to 1980,0.1268
2485,1978,-76.71667,159.66667,1971 to 1980,2.485
298.6,1978,-76.71667,159.66667,1971 to 1980,0.29860000000000003
808.1,1978,-76.71667,159.66667,1971 to 1980,0.8081
847.6,1978,-76.71667,159.66667,1971 to 1980,0.8476
127.8,1978,-76.71667,159.66667,1971 to 1980,0.1278
4.3,1978,-76.71667,159.66667,1971 to 1980,0.0043
7.92,1977,-76.71667,159.66667,1971 to 1980,0.00792
102.6,1978,-76.71667,159.66667,1971 to 1980,0.1026
44.3,1978,-76.71667,159.66667,1971 to 1980,0.0443
30.4,1978,-76.71667,159.66667,1971 to 1980,0.0304
4.7,1978,-76.71667,159.66667,1971 to 1980,0.0047
18.4,1978,-76.71667,159.66667,1971 to 1980,0.0184
27.7,1978,-76.71667,159.66667,1971 to 1980,0.0277
18.8,1978,-76.71667,159.66667,1971 to 1980,0.0188
